0	-1	0
0.02	-0.9990133642	-0.0009866358
0.04	-0.9960573507	-0.0039426493
0.06	-0.9911436254	-0.0088563746
0.08	-0.9842915806	-0.0157084194
0.1	-0.9755282581	-0.0244717419
0.12	-0.9648882429	-0.0351117571
0.14	-0.9524135262	-0.0475864738
0.16	-0.93815334	-0.06184666
0.18	-0.9221639628	-0.0778360372
0.2	-0.9045084972	-0.0954915028
0.22	-0.8852566214	-0.1147433786
0.24	-0.8644843137	-0.1355156863
0.26	-0.842273553	-0.157726447
0.28	-0.8187119949	-0.1812880051
0.3	-0.7938926261	-0.2061073739
0.32	-0.7679133975	-0.2320866025
0.34	-0.7408768371	-0.2591231629
0.36	-0.7128896458	-0.2871103542
0.38	-0.6840622763	-0.3159377237
0.4	-0.6545084972	-0.3454915028
0.42	-0.6243449436	-0.3756550564
0.44	-0.5936906573	-0.4063093427
0.46	-0.5626666168	-0.4373333832
0.48	-0.5313952598	-0.4686047402
0.5	-0.5	-0.5
0.52	-0.4686047402	-0.5313952598
0.54	-0.4373333832	-0.5626666168
0.56	-0.4063093427	-0.5936906573
0.58	-0.3756550564	-0.6243449436
0.6	-0.3454915028	-0.6545084972
0.62	-0.3159377237	-0.6840622763
0.64	-0.2871103542	-0.7128896458
0.66	-0.2591231629	-0.7408768371
0.68	-0.2320866025	-0.7679133975
0.7	-0.2061073739	-0.7938926261
0.72	-0.1812880051	-0.8187119949
0.74	-0.157726447	-0.842273553
0.76	-0.1355156863	-0.8644843137
0.78	-0.1147433786	-0.8852566214
0.8	-0.0954915028	-0.9045084972
0.82	-0.0778360372	-0.9221639628
0.84	-0.06184666	-0.93815334
0.86	-0.0475864738	-0.9524135262
0.88	-0.0351117571	-0.9648882429
0.9	-0.0244717419	-0.9755282581
0.92	-0.0157084194	-0.9842915806
0.94	-0.0088563746	-0.9911436254
0.96	-0.0039426493	-0.9960573507
0.98	-0.0009866358	-0.9990133642
1	0	-1
